Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,StudentID,Predicted_Status_Label,Dropout_Prob,Graduate_Prob,Enrolled_Prob
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,1,Enrolled,0.4033267,0.06639098,0.5302823
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,1.36666666666666e+16,0,13.9,-0.3,0.79,Graduate,2,Graduate,0.20749544,0.7723682,0.020136392
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,3,Dropout,0.90016645,0.022237588,0.07759598
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,1.34285714285714e+16,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,4,Graduate,0.020798862,0.9747683,0.004432922
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,1.23333333333333e+16,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,5,Graduate,0.017091652,0.9675895,0.015318835
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,1.18571428571428e+16,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,6,Graduate,0.045622148,0.94236416,0.012013716
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14345.0,0,15.5,2.8,-4.06,Graduate,7,Graduate,0.011939091,0.9806996,0.0073613096
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,8,Dropout,0.98887247,0.0023153203,0.008812232
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13875.0,0,0,6,7,6,1.41428571428571e+16,0,16.2,0.3,-0.92,Graduate,9,Graduate,0.011231493,0.9721132,0.016655298
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,10,Graduate,0.45103678,0.5067715,0.042191707
